name,year,semester,examTime,examDate
التحليل 1 (م),1,1,11:30-1:00,13/8/2025
الفيزياء 1 (م),1,1,11:30-1:00,19/8/2025
اللغة الأجنبية 1 (م),1,1,11:30-1:00,29/7/2025
الرياضيات المتقطعة (م),1,1,9:00-10:30,4/8/2025
مبادئ عمل الحاسوب (م),1,1,9:00-10:30,28/8/2025
الثقافة (م),1,1,10:00-11:30,31/8/2025
البرمجة 1 (م),1,1,11:30-1:00,6/8/2025
التحليل 2 (م),1,2,9:00-10:30,27/7/2025
الفيزياء 2 (م),1,2,11:30-1:00,31/7/2025
اللغة الأجنبية 2 (م),1,2,11:30-1:00,5/8/2025
الجبر الخطي (م),1,2,9:00-10:30,11/8/2025
الدارات الكهربائية (م),1,2,11:30-1:00,17/8/2025
اللغة العربية (م),1,2,11:30-1:00,21/8/2025
البرمجة 2 (م),1,2,11:30-1:00,2/9/2025
التحليل 3 (م),2,1,9:00-10:30,6/8/2025
اللغة الأجنبية 3 (م),2,1,9:00-10:30,1/9/2025
الدارات الإلكترونية,2,1,9:00-11:00,10/8/2025
البرمجة الرياضية (م),2,1,11:30-1:00,30/7/2025
التحليل العددي 1 (م),2,1,2:00-3:30,7/8/2025
البرمجة 3 (م),2,1,11:30-1:00,14/8/2025
الاحتمالات (م),2,1,11:30-1:00,20/8/2025
التحليل العددي 2 (م),2,2,12:30-2:00,31/8/2025
الخوارزميات وبنى المعطيات 1 (م),2,2,9:00-10:30,28/7/2025
الإحصاء (م),2,2,9:00-10:30,12/8/2025
اللغة الأجنبية 4 (م),2,2,9:00-10:30,3/8/2025
مهارات التواصل (م),2,2,9:00-10:30,3/9/2025
التحليل 4 (م),2,2,9:00-10:30,24/8/2025
النظم والدارات المنطقية (م),2,2,9:00-10:30,18/8/2025
الرسوميات الحاسوبية (م),3,1,11:30-1:00,10/8/2025
نظرية المخططات (م),3,1,11:30-1:00,28/8/2025
معالجة الإشارة,3,1,9:00-11:00,13/8/2025
الخوارزميات وبنى المعطيات 2 (م),3,1,11:30-1:00,29/7/2025
المعالج المصغر (م),3,1,11:30-1:00,7/8/2025
نظرية المعلومات,3,1,9:00-11:00,19/8/2025
قواعد المعطيات 1 (م),3,1,11:30-1:00,3/8/2025
مبادئ الذكاء الصنعي (م),3,2,9:00-10:30,2/9/2025
الاتصالات التشابهية والرقمية,3,2,9:00-11:00,5/8/2025
الشبكات الحاسوبية (م),3,2,2:00-3:30,27/7/2025
الخوارزميات وبنى المعطيات 3 (م),3,2,11:30-1:00,11/8/2025
البنية وتنظيم الحاسب 1 (م),3,2,9:00-10:30,21/8/2025
اللغات الصورية (م),3,2,9:00-10:30,17/8/2025
هندسة البرمجيات 1 (م),3,2,9:00-10:30,30/7/2025
نظرية الأرتال (م),4,1,11:30-1:00,13/8/2025
تصميم المترجمات (م),4,1,11:30-1:00,30/7/2025
البنية وتنظيم الحاسب 2 (م),4,1,2:00-3:30,2/9/2025
نظم الوسائط المتعددة (م),4,1,11:30-1:00,1/9/2025
نظم التشغيل 1,4,1,11:30-1:30,19/8/2025
قواعد المعطيات 2 (م),4,1,9:00-10:30,6/8/2025
الشبكات الحاسوبية المتقدمة,4,1,9:00-11:00,6/8/2025
البرمجة المنطقية,4,1,9:00-11:00,6/8/2025
بحوث العمليات (م),4,1,9:00-10:30,7/8/2025
التسويق وإدارة المشاريع (م),4,2,11:30-1:00,24/8/2025
نظم التشغيل 2,4,2,11:30-1:30,4/8/2025
أمن المعلومات (م),4,2,11:30-1:00,28/7/2025
النظم الرقمية المبرمجة (م),4,2,9:00-10:30,20/8/2025
الشبكات العصبونية ومنطق الترجيح,4,2,9:00-11:00,10/8/2025
هندسة البرمجيات 2 (م),4,2,9:00-10:30,14/8/2025
البرمجة التفرعية (م),4,2,11:30-1:00,3/9/2025
الروبوتية,4,2,9:00-11:00,31/7/2025
أمن الشبكات,5,1,11:30-1:30,20/8/2025
التحكم المنطقي المبرمج,5,1,9:00-11:00,29/7/2025
الرؤية الحاسوبية,5,1,11:30-1:30,20/8/2025
الجودة والوثوقية (م),5,1,11:30-1:00,14/8/2025
هندسة البرمجيات 3 (م),5,1,11:30-1:00,20/8/2025
النظم الخبيرة,5,1,9:00-11:00,2/9/2025
النظم الموزعة,5,1,9:00-11:00,2/9/2025
النمذجة والمحاكاة (م),5,1,11:30-1:00,7/8/2025
معالجة اللغات الطبيعية,5,2,11:30-1:30,18/8/2025
إدارة نظم الإنتاجية (م),5,2,9:00-10:30,28/8/2025
إدارة الشبكات/ الشبكات اللاسلكية,5,2,11:30-1:30,3/8/2025
تنقيب المعطيات (م),5,2,11:30-1:00,12/8/2025
نظم الزمن الحقيقي (م),5,2,11:30-1:00,27/7/2025
